id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2024-1013141;13/05/2024;1;Vente;450000;129;A;BD GRIGNAN;3460;83000;83137;Toulon;83;;;83137000BV0954;;;24;14.3;;;;;;;;;1;3;Dépendance;;0;;;;;;5.938279;43.109175
2024-1013141;13/05/2024;1;Vente;450000;125;;BD GRIGNAN;3460;83000;83137;Toulon;83;;;83137000BV0954;;;4;80.15;;;;;;;;;1;2;Appartement;82;3;;;;;;5.938279;43.109175
2024-1013142;30/04/2024;1;Vente;860000;9008;;CHE DE SAINT MARC;6515;83000;83137;Toulon;83;;;83137000BO0114;;;;;;;;;;;;;0;1;Maison;168;6;S;sols;;;560;5.956926;43.112291
2024-1013144;07/05/2024;1;Vente;142000;311;;BD PABAN;5525;83200;83137;Toulon;83;;;83137000DK0165;;;65;48.42;66;;;;;;;;2;2;Appartement;58;3;;;;;;5.90874;43.135258
2024-1013144;07/05/2024;1;Vente;142000;311;;BD PABAN;5525;83200;83137;Toulon;83;;;83137000DK0165;;;65;48.42;66;;;;;;;;2;3;Dépendance;;0;;;;;;5.90874;43.135258
2024-1013153;06/05/2024;1;Vente;218000;25;;RUE GEN LOUIS DE PARTOUNEAUX;3275;83000;83137;Toulon;83;;;83137000BV0124;;;36;48.79;;;;;;;;;1;3;Dépendance;;0;;;;;;5.940527;43.111301
2024-1013153;06/05/2024;1;Vente;218000;25;;RUE GEN LOUIS DE PARTOUNEAUX;3275;83000;83137;Toulon;83;;;83137000BV0124;;;36;48.79;;;;;;;;;1;2;Appartement;48;3;;;;;;5.940527;43.111301
2024-1013154;13/05/2024;1;Vente;142000;273;;AV LOUIS BARTHOU;4585;83000;83137;Toulon;83;;;83137000BH0161;;;171;;356;56.66;;;;;;;2;2;Appartement;58;3;;;;;;5.963012;43.119373
2024-1013154;13/05/2024;1;Vente;142000;273;;AV LOUIS BARTHOU;4585;83000;83137;Toulon;83;;;83137000BH0161;;;171;;356;56.66;;;;;;;2;3;Dépendance;;0;;;;;;5.963012;43.119373
2024-1013155;25/04/2024;1;Vente;143000;115;;AV FRANKLIN ROOSEVELT;3045;83000;83137;Toulon;83;;;83137000BZ0117;;;292;68.29;76;;;;;;;;2;3;Dépendance;;0;;;;;;5.940075;43.120113
2024-1013155;25/04/2024;1;Vente;143000;115;;AV FRANKLIN ROOSEVELT;3045;83000;83137;Toulon;83;;;83137000BZ0117;;;292;68.29;76;;;;;;;;2;3;Dépendance;;0;;;;;;5.940075;43.120113
2024-1013155;25/04/2024;1;Vente;143000;115;;AV FRANKLIN ROOSEVELT;3045;83000;83137;Toulon;83;;;83137000BZ0117;;;292;68.29;76;;;;;;;;2;2;Appartement;72;3;;;;;;5.940075;43.120113
2024-1013163;29/04/2024;1;Vente;302800;765;B;AV ANDRE LE CHATELIER;305;83200;83137;Toulon;83;;;83137000DT0856;;;;;;;;;;;;;0;3;Dépendance;;0;S;sols;;;289;5.896402;43.139331
2024-1013163;29/04/2024;1;Vente;302800;765;B;AV ANDRE LE CHATELIER;305;83200;83137;Toulon;83;;;83137000DT0856;;;;;;;;;;;;;0;1;Maison;65;3;S;sols;;;289;5.896402;43.139331
2024-1013163;29/04/2024;1;Vente;302800;765;B;AV ANDRE LE CHATELIER;305;83200;83137;Toulon;83;;;83137000DT0856;;;;;;;;;;;;;0;3;Dépendance;;0;S;sols;;;289;5.896402;43.139331
2024-1013165;21/05/2024;1;Vente;25000;1960;;CHEM VX CHEMIN DE STE MUSSE;6620;83100;83137;Toulon;83;;;83137000AY0260;;;156;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.979072;43.123486
